dataset,inference_time_ms
BreastTissue,428.94700006581843
BreastWisconsin,16.904199961572886
Ecoli,17.9685999173671
Glass,13.041900005191565
Haberman,11.366300052031875
Ionosphere,12.66670017503202
Iris,11.95820001885295
Movement_libras,23.752600187435746
Musk,63.95380012691021
Parkinsons,12.081100139766932
Segmentation,75.35099983215332
SonarAll,11.972100008279085
Spectf,14.09729989245534
Transfusion,12.940500164404511
Vehicle,16.51509990915656
VertebralColumn,12.701699975878
Vowel_context,13.265400193631649
Wine,12.651599943637848
WineQualityRed,32.674500020220876
Yeast,27.710699941962957
