dataset,inference_time_ms,selected_algorithm,value
BreastTissue,428.94700006581843,spectral_clustering,0.6145665049552917
BreastWisconsin,16.904199961572886,spectral_clustering,0.47391650080680847
Ecoli,17.9685999173671,spectral_clustering,0.5413205027580261
Glass,13.041900005191565,spectral_clustering,0.7045371532440186
Haberman,11.366300052031875,mean_shift,0.5807833671569824
Ionosphere,12.66670017503202,optics,0.8141754269599915
Iris,11.95820001885295,gaussian,0.7900568842887878
Movement_libras,23.752600187435746,spectral_clustering,0.32505959272384644
Musk,63.95380012691021,agglomerative,0.9224247336387634
Parkinsons,12.081100139766932,mean_shift,0.5066261291503906
Segmentation,75.35099983215332,optics,0.7467237710952759
SonarAll,11.972100008279085,agglomerative,0.6514099836349487
Spectf,14.09729989245534,dbscan,0.5414445996284485
Transfusion,12.940500164404511,spectral_clustering,0.4930531978607178
Vehicle,16.51509990915656,spectral_clustering,0.5436864495277405
VertebralColumn,12.701699975878,gaussian,0.39882588386535645
Vowel_context,13.265400193631649,spectral_clustering,0.5541064739227295
Wine,12.651599943637848,spectral_clustering,0.9207034111022949
WineQualityRed,32.674500020220876,birch,0.5015568137168884
Yeast,27.710699941962957,spectral_clustering,0.4527512192726135
