dataset,AML4C_COP_runtime_ms,AML4C_DBCV_runtime_ms,AutoClust_runtime_ms,AutoCluster_CH_runtime_ms,AutoCluster_DBI_runtime_ms,AutoCluster_SIL_runtime_ms,ML2DAC_statistical+general_runtime_ms,ML2DAC_statistical+info-theory+general_runtime_ms
BreastTissue,370.309829711914,381.0031414031982,144.1707611083984,132.8184604644775,154.6392440795898,395.3869342803955,6.690502166748,453.8133144378662
BreastWisconsin,950.5059719085692,842.8795337677002,2157.743453979492,2411.898612976074,2401.7553329467773,2342.3609733581543,109.1392040252685,845.0667858123779
Ecoli,224.8246669769287,230.4823398590088,665.6672954559326,247.7052211761474,249.37105178833,1331.9456577301023,6.5281391143798,360.6131076812744
Glass,390.7027244567871,379.7585964202881,341.9697284698486,186.1269474029541,208.7998390197754,1222.3491668701172,9.2711448669433,399.8253345489502
Haberman,33.6370468139648,33.964157104492095,906.6286087036132,193.3937072753906,242.5844669342041,1473.006010055542,4.646301269531199,33.5798263549804
Ionosphere,896.2419033050537,943.0108070373536,1260.357141494751,1931.218147277832,2563.0133152008057,2297.133207321167,47.9135513305664,987.6461029052734
Iris,68.8621997833252,67.1005249023437,247.2217082977295,142.00043678283689,165.1921272277832,595.421552658081,6.8929195404052,73.2448101043701
Movement_libras,1051.1424541473389,1125.9031295776367,1672.553300857544,1818.6275959014893,2026.77583694458,1953.3710479736328,304.2612075805664,1111.4842891693115
Musk,1156.5189361572266,1078.815460205078,1787.0304584503174,2407.7837467193604,2408.8737964630127,2094.2869186401367,445.8937644958496,1324.265480041504
Parkinsons,760.446310043335,807.0721626281738,335.5746269226074,1068.734884262085,1019.0601348876951,962.8162384033204,24.914026260375902,906.1832427978516
Segmentation,1001.5206336975098,927.6764392852784,13099.692106246948,9899.710655212402,10243.738412857056,15589.632749557495,40.783882141113196,1057.692527770996
SonarAll,858.9551448822021,936.8762969970704,490.4191493988037,1045.5293655395508,940.2916431427002,1064.856767654419,220.6673622131347,887.9344463348389
Spectf,848.5443592071533,902.2464752197266,759.8068714141846,1512.4292373657229,1496.0832595825195,1584.9618911743164,130.6567192077636,840.9185409545898
Transfusion,78.6235332489013,77.5384902954101,1218.1339263916016,416.6784286499023,376.1141300201416,2870.61619758606,5.6092739105224005,71.2506771087646
Vehicle,833.57834815979,800.7199764251709,2852.86021232605,2985.917091369629,3338.4408950805664,3466.907501220703,31.1574935913085,875.7340908050537
VertebralColumn,173.0422973632812,168.0085659027099,803.1246662139893,199.5787620544433,214.2477035522461,1301.5830516815186,7.3182582855224005,232.2702407836914
Vowel_context,529.353141784668,523.6260890960693,3213.826894760132,925.764799118042,1435.3890419006348,2968.064546585083,12.430191040039,531.4218997955322
Wine,697.6771354675293,696.9714164733887,384.3965530395508,156.8353176116943,159.6159934997558,167.4535274505615,8.1081390380859,707.5967788696289
WineQualityRed,654.3929576873779,648.4005451202393,5971.889019012451,2354.81071472168,3712.067127227783,5265.806436538696,15.1679515838623,691.1261081695557
Yeast,323.4999179840088,313.9963150024414,3581.299304962158,2102.677583694458,3004.148006439209,6804.727554321289,11.327505111694299,440.955638885498
