dataset,silhouette_time_ms,calinski_harabasz_time_ms,davies_bouldin_time_ms,dunn_time_ms
BreastTissue,6.250399863347411,2.1394998766481876,10.049300035461783,9.28090000525117
BreastWisconsin,39.41059997305274,3.141700057312846,11.396999936550856,192.45920004323125
Ecoli,15.599200036376715,2.8413000982254744,12.183899991214275,82.89049984887242
Glass,9.418200002983212,2.3836998734623194,11.29379984922707,32.53960004076362
Haberman,11.174899991601706,1.7929000314325094,5.367800127714872,49.715999979525805
Ionosphere,18.06799997575581,3.0274998862296343,15.41449991054833,74.77569999173284
Iris,7.521799998357892,1.7406998667865992,6.371299969032407,18.683099886402488
Movement_libras,22.608099970966578,4.70969988964498,23.893499979749322,100.33789998851717
Musk,33.92329998314381,4.10260003991425,16.30919985473156,141.77570003084838
Parkinsons,9.0744998306036,2.7461000718176365,8.86610010638833,23.516400018706918
Segmentation,422.3099001683295,8.065599948167801,34.10599986091256,3912.832699948922
SonarAll,13.221499975770712,6.00489997304976,19.26840003579855,28.4899000544101
Spectf,13.239799998700619,2.268899930641055,8.727599866688251,43.86300011537969
Transfusion,57.73720005527139,3.4630000591278076,12.573899934068322,313.8271998614073
Vehicle,74.03479982167482,3.7307001184672117,14.770000008866191,492.92490002699196
VertebralColumn,12.46919995173812,2.180200070142746,10.375200072303414,60.99279993213713
Vowel_context,105.12330010533333,5.472999997437,28.132400009781122,728.0268000904471
Wine,8.487600134685636,2.3140001576393843,9.125399868935347,23.688199929893017
WineQualityRed,211.00890007801354,5.628400016576052,23.91729992814362,1727.4744000751525
Yeast,178.42999985441566,6.389799993485212,30.692199943587184,1544.7074000257999
