dataset,inference_time_ms,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,38.599400024395436,0.4543503224849701,0.40849509835243225,0.5901656150817871,0.5179039239883423,0.6142095923423767,0.6829603314399719,0.621548593044281,0.6934992671012878,0.6096832752227783,0.5767403841018677,0.6621227264404297,0.36882397532463074
BreastWisconsin,29.67780001927167,0.29505524039268494,0.261129766702652,0.37244755029678345,0.318439245223999,0.36406177282333374,0.412873238325119,0.36055323481559753,0.42066866159439087,0.39103570580482483,0.36867865920066833,0.4395049214363098,0.23538759350776672
Ecoli,32.14239998487756,0.29467591643333435,0.28120169043540955,0.3621263802051544,0.34259921312332153,0.3729994297027588,0.45196691155433655,0.33568015694618225,0.38996437191963196,0.4029906690120697,0.4193417727947235,0.4091890752315521,0.26688674092292786
Glass,34.952999965753406,0.6432785987854004,0.5802437663078308,0.7414471507072449,0.6933663487434387,0.7718678116798401,0.7504927515983582,0.741228461265564,0.8185745477676392,0.7375779151916504,0.622001588344574,0.8282349705696106,0.512650191783905
Haberman,31.151600007433444,0.3156890571117401,0.3140791356563568,0.4187332093715668,0.36432206630706787,0.4336710572242737,0.6106142997741699,0.5021583437919617,0.564574658870697,0.43344566226005554,0.47723522782325745,0.5170505046844482,0.31219807267189026
Ionosphere,26.097699999809265,0.46947965025901794,0.4039723873138428,0.6025550961494446,0.5285909175872803,0.6471937894821167,0.8571844100952148,0.7727621793746948,0.8374504446983337,0.6366565823554993,0.7128197550773621,0.777488648891449,0.42928287386894226
Iris,43.68360002990812,0.5054881572723389,0.4797928035259247,0.5662340521812439,0.5644596219062805,0.5831227898597717,0.7328639030456543,0.6437452435493469,0.6727643609046936,0.6465541124343872,0.6713176965713501,0.6751395463943481,0.4193356931209564
Movement_libras,39.81549997115508,0.047679390758275986,0.0360020250082016,0.0435045063495636,0.04777148365974426,0.07987169921398163,0.2542320191860199,0.1646651327610016,0.1051463633775711,0.030478274449706078,0.019943227991461754,0.09966444969177246,0.062675841152668
Musk,133.6303999996744,0.7233209013938904,0.6433404684066772,0.7796089053153992,0.8041925430297852,0.8109434247016907,0.7349954843521118,0.7693989276885986,0.8187780380249023,0.8273212313652039,0.7481176257133484,0.8181397318840027,0.5268005728721619
Parkinsons,37.65509999357164,0.28755640983581543,0.25321704149246216,0.3918239176273346,0.3212214410305023,0.44363322854042053,0.521186351776123,0.41063037514686584,0.514431893825531,0.39026451110839844,0.4254978597164154,0.49408888816833496,0.23226402699947357
Segmentation,197.84499995876104,0.5445732474327087,0.5120438933372498,0.6784570813179016,0.6365789771080017,0.7063516974449158,0.7760738730430603,0.7595178484916687,0.8425783514976501,0.6535484790802002,0.6158705949783325,0.7735795378684998,0.5427860617637634
SonarAll,36.06870002113283,0.40471163392066956,0.34861692786216736,0.49859482049942017,0.4568851888179779,0.5430431962013245,0.48851996660232544,0.5227341055870056,0.6047022342681885,0.48503318428993225,0.5243126153945923,0.531511127948761,0.3062257468700409
Spectf,40.35419999854639,0.3606897294521332,0.31425485014915466,0.45991945266723633,0.4140021502971649,0.47134384512901306,0.5302888751029968,0.4250352382659912,0.5084382891654968,0.5052359104156494,0.5000816583633423,0.5315420627593994,0.3098674714565277
Transfusion,32.89109998149797,0.33957892656326294,0.3265167772769928,0.43281498551368713,0.3801051676273346,0.43558603525161743,0.5253142714500427,0.4608762860298157,0.5309775471687317,0.4507265090942383,0.44887176156044006,0.5160596966743469,0.30056747794151306
Vehicle,36.043600004632026,0.33879753947257996,0.30797186493873596,0.42745256423950195,0.4135974943637848,0.44989249110221863,0.5310145020484924,0.43511906266212463,0.46563369035720825,0.4802599847316742,0.5002248883247375,0.48702263832092285,0.2544437348842621
VertebralColumn,35.018499998841435,0.2756187617778778,0.2445145696401596,0.3353358209133148,0.2840918004512787,0.29980453848838806,0.3484156131744385,0.28558149933815,0.3238670229911804,0.36696791648864746,0.3252204954624176,0.38439470529556274,0.21652142703533173
Vowel_context,44.986799999605864,0.3952304422855377,0.4458869993686676,0.3984818458557129,0.49393925070762634,0.37947216629981995,0.3346293568611145,0.35525184869766235,0.4108119010925293,0.5279043316841125,0.6573963165283203,0.5568553805351257,0.24421846866607666
Wine,40.55279999738559,0.311478853225708,0.26466745138168335,0.365951269865036,0.39090853929519653,0.42445728182792664,0.5508632659912109,0.38444772362709045,0.4369487464427948,0.43694907426834106,0.5138755440711975,0.462874174118042,0.21195316314697266
WineQualityRed,77.3188000312075,0.3393220007419586,0.28812459111213684,0.4053197503089905,0.35881295800209045,0.38943853974342346,0.37947651743888855,0.35335665941238403,0.40023723244667053,0.40177708864212036,0.36162763833999634,0.4289766252040863,0.24859213829040527
Yeast,71.4406999759376,0.2968742549419403,0.2523975372314453,0.3488887846469879,0.315536230802536,0.3332059383392334,0.3465363681316376,0.27566370368003845,0.31548482179641724,0.3638603389263153,0.3334970474243164,0.3687959909439087,0.21806266903877258
