dataset,oracle_best_algorithm,oracle_best_ari,DeepModel_algorithm,DeepModel_oracle_ari,ML2DAC_statistical+info-theory+general_algorithm,ML2DAC_statistical+info-theory+general_oracle_ari,AML4C_DBCV_algorithm,AML4C_DBCV_oracle_ari,AML4C_COP_algorithm,AML4C_COP_oracle_ari,ML2DAC_statistical+general_algorithm,ML2DAC_statistical+general_oracle_ari,AutoCluster_CH_algorithm,AutoCluster_CH_oracle_ari,AutoCluster_DBI_algorithm,AutoCluster_DBI_oracle_ari,AutoCluster_SIL_algorithm,AutoCluster_SIL_oracle_ari,AutoClust_algorithm,AutoClust_oracle_ari,davies_bouldin_algorithm,davies_bouldin_oracle_ari,calinski_harabasz_algorithm,calinski_harabasz_oracle_ari,silhouette_algorithm,silhouette_oracle_ari,dunn_algorithm,dunn_oracle_ari
BreastTissue,spectral_clustering,0.4152142505532855,spectral_clustering,0.4152142505532855,k-means,0.259222339006225,k-means,0.259222339006225,k-means,0.259222339006225,k-means,0.259222339006225,dbscan,0.2684220681201693,dbscan,0.2684220681201693,dbscan,0.2684220681201693,dbscan,0.2684220681201693,mean_shift,0.2540343372228482,k-means,0.259222339006225,hdbscan,0.1813021947565886,hdbscan,0.1813021947565886
BreastWisconsin,spectral_clustering,0.7859103688343316,spectral_clustering,0.7859103688343316,k-means,0.6707206476880808,gaussian,0.7740159832538671,birch,0.6954257540995016,k-means,0.6707206476880808,dbscan,0.2950646410412531,dbscan,0.2950646410412531,dbscan,0.2950646410412531,dbscan,0.2950646410412531,hdbscan,0.1559871161669019,k-means,0.6707206476880808,hdbscan,0.1559871161669019,hdbscan,0.1559871161669019
Ecoli,birch,0.7954284710130451,spectral_clustering,0.7201949538920116,gaussian,0.6505391431785865,gaussian,0.6505391431785865,ward,0.5182496729933496,gaussian,0.6505391431785865,dbscan,0.4965858831272649,dbscan,0.4965858831272649,dbscan,0.4965858831272649,mean_shift,0.7418708034227178,mean_shift,0.7418708034227178,optics,0.5190527339306703,optics,0.5190527339306703,hdbscan,0.4042503828703309
Glass,birch,0.2919489577209197,spectral_clustering,0.2254142912758842,gaussian,0.2256830468040867,gaussian,0.2256830468040867,ward,0.1350688630167201,ward,0.1350688630167201,dbscan,0.250714592057752,dbscan,0.250714592057752,dbscan,0.250714592057752,mean_shift,0.2898585906149512,mean_shift,0.2898585906149512,dbscan,0.250714592057752,dbscan,0.250714592057752,dbscan,0.250714592057752
Haberman,mean_shift,0.1834163453569174,mean_shift,0.1834163453569174,dbscan,0.1576642097717907,dbscan,0.1576642097717907,ward,0.0143410141644985,ward,0.0143410141644985,dbscan,0.1576642097717907,dbscan,0.1576642097717907,dbscan,0.1576642097717907,mean_shift,0.1834163453569174,affinity_propagation,0.0299615908380245,k-means,-0.0011018075368244,affinity_propagation,0.0299615908380245,spectral_clustering,0.079278276581592
Ionosphere,dbscan,0.7319011108580683,optics,0.7215603771671905,ward,0.1874430024552788,ward,0.1874430024552788,birch,0.1975397103773112,ward,0.1874430024552788,dbscan,0.7319011108580683,dbscan,0.7319011108580683,dbscan,0.7319011108580683,mean_shift,0.3633691820876392,affinity_propagation,0.128251182624705,k-means,0.1679020141425987,hdbscan,0.4190984720032523,hdbscan,0.4190984720032523
Iris,gaussian,0.9038742317748124,gaussian,0.9038742317748124,dbscan,0.5681159420289855,dbscan,0.5681159420289855,ward,0.6153229932145449,dbscan,0.5681159420289855,dbscan,0.5681159420289855,dbscan,0.5681159420289855,dbscan,0.5681159420289855,dbscan,0.5681159420289855,agglomerative,0.5637510205230709,hdbscan,0.5637510205230709,hdbscan,0.5637510205230709,hdbscan,0.5637510205230709
Movement_libras,spectral_clustering,0.398528790503782,spectral_clustering,0.398528790503782,ward,0.319464274326113,ward,0.319464274326113,ward,0.319464274326113,ward,0.319464274326113,dbscan,0.1196928056112685,dbscan,0.1196928056112685,dbscan,0.1196928056112685,mean_shift,0.2948263414122591,mean_shift,0.2948263414122591,k-means,0.3108399717454102,hdbscan,0.0794891231744972,hdbscan,0.0794891231744972
Musk,hdbscan,0.0985567375629069,agglomerative,0.0723869254060194,k-means,0.0042120815094551,k-means,0.0042120815094551,birch,-0.0005113765326483,k-means,0.0042120815094551,dbscan,0.0,dbscan,0.0,dbscan,0.0,dbscan,0.0,spectral_clustering,0.001258314510423,k-means,0.0042120815094551,hdbscan,0.0985567375629069,spectral_clustering,0.001258314510423
Parkinsons,spectral_clustering,0.4372577852472124,mean_shift,0.0693430241004022,k-means,-0.0978077397929484,k-means,-0.0978077397929484,birch,0.1429961454166416,k-means,-0.0978077397929484,dbscan,0.0396436098427317,dbscan,0.0396436098427317,dbscan,0.0396436098427317,mean_shift,0.0693430241004022,hdbscan,0.1471827216999872,k-means,-0.0978077397929484,k-means,-0.0978077397929484,hdbscan,0.1471827216999872
Segmentation,k-medians,0.523735702701219,optics,0.2524502815082172,birch,0.4751170691890305,dbscan,0.3013136666643123,birch,0.4751170691890305,k-means,0.4615460297436876,dbscan,0.3013136666643123,dbscan,0.3013136666643123,dbscan,0.3013136666643123,mean_shift,0.4365019772997843,mean_shift,0.4365019772997843,optics,0.2524502815082172,optics,0.2524502815082172,optics,0.2524502815082172
SonarAll,affinity_propagation,0.0444195804905575,agglomerative,0.0287104219176447,birch,-0.0013782379757571,birch,-0.0013782379757571,ward,0.0044586128268136,birch,-0.0013782379757571,dbscan,0.0125190377220366,dbscan,0.0125190377220366,dbscan,0.0125190377220366,mean_shift,0.0181334277728469,mean_shift,0.0181334277728469,k-means,-0.001414949657323,optics,0.0121609802761386,optics,0.0121609802761386
Spectf,dbscan,0.2555076859524542,dbscan,0.2555076859524542,k-means,-0.1026042961417461,k-means,-0.1026042961417461,birch,-0.1065275390418156,k-means,-0.1026042961417461,dbscan,0.2555076859524542,dbscan,0.2555076859524542,dbscan,0.2555076859524542,mean_shift,0.0,spectral_clustering,-0.005504203528682,k-means,-0.1026042961417461,spectral_clustering,-0.005504203528682,spectral_clustering,-0.005504203528682
Transfusion,birch,0.1252025996403785,spectral_clustering,0.0361631767560834,k-means,0.0526558953237349,dbscan,0.0324429043171031,ward,0.0725373624343418,ward,0.0725373624343418,dbscan,0.0324429043171031,dbscan,0.0324429043171031,dbscan,0.0324429043171031,dbscan,0.0324429043171031,agglomerative,0.0310839664010938,hdbscan,-0.0050164062304035,agglomerative,0.0310839664010938,agglomerative,0.0310839664010938
Vehicle,spectral_clustering,0.1189598520466363,spectral_clustering,0.1189598520466363,k-means,0.0761244520806915,ward,0.0924164736299749,ward,0.0924164736299749,k-means,0.0761244520806915,dbscan,0.0993229842315328,dbscan,0.0993229842315328,dbscan,0.0993229842315328,dbscan,0.0993229842315328,dbscan,0.0993229842315328,k-means,0.0761244520806915,hdbscan,0.0893272912779587,hdbscan,0.0893272912779587
VertebralColumn,agglomerative,0.4511705595378765,gaussian,0.4120765288685588,birch,0.2918561134052034,birch,0.2918561134052034,ward,0.2669541115519109,k-means,0.2113914793268105,dbscan,0.3289180875300741,dbscan,0.3289180875300741,dbscan,0.3289180875300741,mean_shift,0.1227611196315457,hdbscan,0.2789729601535117,k-means,0.2113914793268105,hdbscan,0.2789729601535117,hdbscan,0.2789729601535117
Vowel_context,birch,0.192812814522729,spectral_clustering,0.1779615014114859,ward,0.1673194515217492,ward,0.1673194515217492,ward,0.1673194515217492,ward,0.1673194515217492,dbscan,0.1355906628083178,dbscan,0.1355906628083178,dbscan,0.1355906628083178,mean_shift,0.1702901838648277,dbscan,0.1355906628083178,k-means,0.17925067712686,affinity_propagation,0.1304317104940076,hdbscan,0.0318188240493151
Wine,spectral_clustering,0.9471317617859916,spectral_clustering,0.9471317617859916,k-means,0.8974949815093207,gaussian,0.8974949815093207,birch,0.7899332213582837,k-means,0.8974949815093207,dbscan,0.4361857850990205,dbscan,0.4361857850990205,dbscan,0.4361857850990205,dbscan,0.4361857850990205,optics,0.7330177684582198,optics,0.7330177684582198,optics,0.7330177684582198,optics,0.7330177684582198
WineQualityRed,birch,0.0914963107978991,birch,0.0914963107978991,gaussian,0.0842028407617526,k-means,0.0627331905369501,ward,0.0637540600308819,k-means,0.0627331905369501,dbscan,0.0250437127978275,dbscan,0.0250437127978275,dbscan,0.0250437127978275,dbscan,0.0250437127978275,hdbscan,0.0218955533621026,k-means,0.0627331905369501,hdbscan,0.0218955533621026,hdbscan,0.0218955533621026
Yeast,spectral_clustering,0.2394943091652681,spectral_clustering,0.2394943091652681,ward,0.198691795809642,ward,0.198691795809642,ward,0.198691795809642,ward,0.198691795809642,dbscan,0.0408706301517017,dbscan,0.0408706301517017,dbscan,0.0408706301517017,mean_shift,0.1734967368540825,hdbscan,0.011631776325701,k-means,0.1653673113651511,hdbscan,0.011631776325701,hdbscan,0.011631776325701
mean,,0.40159841130331453,,0.35278976945374374,,0.2542368506229638,,0.24944191629090967,,0.24608870046965356,,0.2377587888213343,,0.22977600098668322,,0.22977600098668322,,0.22977600098668322,,0.22942328850269328,,0.21838144461601586,,0.21094026808234592,,0.18777869629744925,,0.18695837063139858
median,,0.3452388741123509,,0.24597229533674264,,0.1930673991324604,,0.1930673991324604,,0.1824295809495302,,0.177381226988514,,0.20418940091477134,,0.20418940091477134,,0.20418940091477134,,0.17845654110549997,,0.1413866922541525,,0.17357634563472935,,0.11449422402845724,,0.11825500648897294
mse,,,,0.01148797431131316,,0.047214052561565176,,0.049062339248543266,,0.04171230938481845,,0.05121629816348559,,0.05475368651750142,,0.05475368651750142,,0.05475368651750142,,0.0565250427872,,0.06274268930977753,,0.060948728181003366,,0.07217074389778241,,0.06683455372986238
mean_regret,,,,0.04880864184957076,,0.14736156068035083,,0.15215649501240494,,0.15550971083366108,,0.1638396224819803,,0.1718224103166313,,0.1718224103166313,,0.1718224103166313,,0.17217512280062125,,0.1832169666872987,,0.19065814322096866,,0.2138197150058653,,0.21464004067191594
median_regret,,,,0.005170366845438923,,0.07580561024715628,,0.08591210575047217,,0.12753001282130783,,0.1047671885998513,,0.11040460478535463,,0.11040460478535463,,0.11040460478535463,,0.09565821644309114,,0.1285786018052079,,0.14310545870892125,,0.22098826308366945,,0.22098826308366945
exact_best_count,,,,10.0,,0.0,,0.0,,0.0,,0.0,,2.0,,2.0,,2.0,,1.0,,0.0,,0.0,,1.0,,0.0
within_10pct_of_oracle_best_count,,,,18.0,,12.0,,12.0,,10.0,,10.0,,10.0,,10.0,,10.0,,11.0,,9.0,,8.0,,7.0,,6.0
